user_i,tweet_id,user_j
twitter/1484285901140373505,twitter/1844326839545893116,twitter/915054058037059584
twitter/100188103,twitter/1844326839545893116,twitter/57140687
twitter/75050644,twitter/1845215002162241968,twitter/1427320507792171034
twitter/1308936076724117506,twitter/1845215002162241968,twitter/15201979
twitter/24181760,twitter/1846762902172111104,twitter/4848607524
twitter/1320285523647184896,twitter/1846762902172111104,twitter/1265111322586316801
twitter/1079764836676816902,twitter/1848044605876605334,twitter/793542678377926656
twitter/1266165136898895872,twitter/1848044605876605334,twitter/1427776299012087810
twitter/3877924333,twitter/1848365079072329827,twitter/1788298379455279105
twitter/52468378,twitter/1848365079072329827,twitter/1663250673515786240
twitter/1663250673515786240,twitter/1849782892341420254,twitter/1858572661594415104
twitter/1643243665148760072,twitter/1849782892341420254,twitter/1071583022846115840
twitter/53104807,twitter/1850602978354368787,twitter/3321689336
twitter/1383108681135378432,twitter/1850602978354368787,twitter/1663997804602355713
twitter/1427320507792171034,twitter/1850903863345197565,twitter/1659556481505607681
twitter/1764858531134533632,twitter/1850903863345197565,twitter/962986011256004608
twitter/1373995125664227328,twitter/1852165960326906211,twitter/806321012136640512
twitter/1118560896450646016,twitter/1852165960326906211,twitter/1436139230145753090
twitter/1452733698164596741,twitter/1852794961781285247,twitter/121963311
twitter/26425847,twitter/1852794961781285247,twitter/1379705059307569152
twitter/1415161108516597766,twitter/1853623896412422506,twitter/806321012136640512
twitter/1651804028702175232,twitter/1853623896412422506,twitter/3283901
twitter/16850171,twitter/1857887179680195064,twitter/1656128821287071744
twitter/1400147732141068294,twitter/1857887179680195064,twitter/744381187
twitter/260557395,twitter/1858524322685493393,twitter/806321012136640512
twitter/1438332160377819138,twitter/1858524322685493393,twitter/1512255277214617639
twitter/42969356,twitter/1859359340211417508,twitter/1682637075085164544
twitter/1269666360969265152,twitter/1859359340211417508,twitter/3080907712
twitter/1619878405,twitter/1859460752102523004,twitter/1656128821287071744
twitter/245994374,twitter/1859460752102523004,twitter/1079818036000030723
twitter/1594486270557839365,twitter/1860606931548938422,twitter/55285103
twitter/908943769981956097,twitter/1860606931548938422,twitter/1605190297662754816
