user_i,tweet_id,user_j
twitter/894164382443200512,twitter/1817110285779689945,twitter/92239108
twitter/1764829765607792640,twitter/1817110285779689945,twitter/15530583
twitter/1704021913939615744,twitter/1818250740982276507,twitter/42969356
twitter/1164169536742023177,twitter/1818250740982276507,twitter/92239108
twitter/1618274101738569729,twitter/1818936408360534063,twitter/1116313997463183363
twitter/1643243665148760072,twitter/1818936408360534063,twitter/1656128821287071744
twitter/1129279740068737024,twitter/1820872306924908969,twitter/1540583412582567936
twitter/1539499688071938048,twitter/1820872306924908969,twitter/1455821491543683072
twitter/2439588188,twitter/1823376041588478310,twitter/226273941
twitter/1717723905509797888,twitter/1823376041588478310,twitter/1764829765607792640
twitter/1512255277214617639,twitter/1824647342978400292,twitter/1283409799191752707
twitter/1619878405,twitter/1824647342978400292,twitter/140487956
twitter/1266165136898895872,twitter/1824740538203177240,twitter/1764858531134533632
twitter/1717723905509797888,twitter/1824740538203177240,twitter/116529568
twitter/4064434513,twitter/1827244002917171529,twitter/15530583
twitter/39366506,twitter/1827244002917171529,twitter/121963311
twitter/1350069356047212544,twitter/1831604465134186739,twitter/1763399553108398080
twitter/245994374,twitter/1831604465134186739,twitter/53104807
twitter/1439149054328406024,twitter/1833026369770393921,twitter/948428960483876864
twitter/2878700520,twitter/1833026369770393921,twitter/57140687
twitter/1733074634117951488,twitter/1834477926399742223,twitter/744381187
twitter/855036990,twitter/1834477926399742223,twitter/1484285901140373505
twitter/116529568,twitter/1838754705222307979,twitter/5836822
twitter/1830938551107932160,twitter/1838754705222307979,twitter/1600956195770023936
twitter/2385106262,twitter/1838968312673243633,twitter/705650882
twitter/19718279,twitter/1838968312673243633,twitter/962986011256004608
twitter/1764858531134533632,twitter/1841427129508192291,twitter/705650882
twitter/1071583022846115840,twitter/1841427129508192291,twitter/1350069356047212544
twitter/852619816254939136,twitter/1843583023587176642,twitter/400859124
twitter/1651202505127391233,twitter/1843583023587176642,twitter/1588064749354307584
twitter/899233803851276288,twitter/1844089129824616566,twitter/140487956
twitter/1792231432326119424,twitter/1844089129824616566,twitter/1164169536742023177
