msg_id,text
twitter/1193763017499955201,@Ben_Westcott @Ohnaw21 $URL[0]
twitter/1196636807728791552,"This is one horrifying video, seeing police charges the protesters with a van,  without much consideration or concerns that they will crash them    $URL[0]"
twitter/1293858191600521224,New coin for new job. $URL[0]
twitter/1293858207874465792,And the reverse... $URL[0]
twitter/1350980101220036611,I was just looking through photos and I noticed something about Junior’s shirt.    That’s just not a regular MAGA shirt.  That’s the “three percenters” logo on the skull.  A far right paramilitary militia group.   Just more signals in plain sight we may not have noticed. $URL[0]
twitter/1351217063306678272,Another one. Probably the same day. $URL[0]
twitter/1416257830575906824,这短短的视频给我的感动是巨大的，整个画面看到她没有派出去一张传单，但她全然没有一丁点委屈失望，依然毫不气馁。。。这画面远比看那些见人就拿走传单的场景更震撼我心灵，边看视频我一边扣心自问：这个人要是我，我能做到吗？……
twitter/1545008213871009792,So prophetic. $URL[0]
twitter/1568974571734450178,一群群朋友因为这三年的疫情管控，门店倒闭、工厂关门、卖房卖车都无济于事。两个微信合计1.5万个好友，8000多个餐饮老板，有很多时候我真想关闭朋友圈，但是我关闭了其实朋友圈还在。
twitter/1572232346815893504,RT @jduffyrice: I wrote this 8 years ago and my main regret is how conciliatory I was $URL[0]
twitter/1661943427385393152,以前的岛哥觉得学习英语是讲天分的，可惜自己没有。花两个小时背10个单词第二天忘9个，渐渐的更没兴趣，从没有想过有一天也能在单词上如履平地，更没有想到它给我打开了新世界的大门。可以这么说，如果把靠大海近比作福建人出国的优势的话，那英语就是我们大多数平凡人的大海。继续加油。 $URL[0]
twitter/1681330194190340098,@chenshijie2015 @LiuDasheng1123 @whyyoutouzhele 天津重点学校多，考生相对少 大部分还是上天津本地大学了 和京沪户口还是比不了
twitter/1681490486811590656,"@mattsheehan88 Whoa. If it were someone else posting this, I'd assume generative AI"
twitter/1701119929087393890,"@shipwreckedcrew No I did not realize that. I figured it was a bogus charge and that hopefully on appeal it won’t hold up, but that by then they all would have served 3-5 years and be financially destitute. Which is what the dems always intended."
twitter/1703551761129386334,@luoleiorg 默认全世界（中国）人民都装微信也是醉了。
twitter/1711841000199479379,cc @ColinCBarr
twitter/1712334177691975850,@TheGeneral_0 get Trump to remove it
twitter/1712583186109419550,@blavescoltd @yaelbt @BernardKerik Yes the guy you worshiped got out of serving because of… bonespurs. lol get off the koolaid hun.
twitter/1725284885969994155,@realpeteyb123 Likewise! I’m not lying too. It just happened recently in Atlantic City. They wanted to me to come back to their room.
twitter/1733823386835730878,Talented he learned from the best and started like the best and ask @mchammer who taught him how to bat as a bat boy his uncle #hammerinhank influences are influential we all have to play to win and start swinging keep swinging Hammer and  Tray !! #GodIsGood
twitter/1783540984049029381,👀 $URL[0]
twitter/1790582791157002303,🤦‍♀️ $URL[0]
twitter/1794376701335789636,Scoppe: Why we can't publish the SC Freedom Caucus' attack on health-agency merger bill $URL[0]
twitter/1795835267355750557,Hear more about this story in the latest episode in BBC Trending’s new series: $URL[0]
twitter/1805628038240932247,"11/19 In the 2016 US presidential election, the release of hacked emails and documents from the Democratic National Committee (DNC) and John Podesta, the chairman of the Clinton campaign, by WikiLeaks, favored the Trump campaign, consequently benefiting russia in return. $URL[0]"
twitter/1806372298913407341,Challenge Round!  Name the movie...  Any fans? $URL[0]
twitter/1806939512888570212,@mags_WV @catturd2 From what? $URL[0]
twitter/1821737671812886640,"It worked,  didn't it?  CNN mocked for article accusing Trump campaign of trying to 'goad' Harris into doing an interview  $URL[0]"
twitter/1822092531800441266,"@chungchingkwong Free speech = insulting someone???   LMAO 🤣, you're definitely a Westerner"
twitter/1824850395979554923,"@DrWaheedArian Thank you, Dr Arian. Yours is an inspirational story of hope. Thank you for being a beacon. Will"
twitter/1833706382429757874,Who is at the Dem Watch party in Philly that’s so important the coast guard has guns pointed on us as we sip daiquiris on the pier with helicopters circling over us? @BaldyBanks
twitter/1833709745942700268,Omg it’s Kamala Harris.
twitter/1834608076046873012,@liyan939824081 @liming19840420 已关
twitter/1836266854819745848,支持王宇姊妹！强烈谴责北京电信公司的流氓行为！
twitter/1838754705222307979,小伙伴们喜欢的成都正宗肺片来咯。↓好吃到爆 $URL[0]
twitter/1839006384563552677,"@thepangolin20 @alexnunns @PeterWillsman You're not that 20% of the voting public who actually voted for these corrupt b@st@rds, are you? You don't speak for the other 80% either."
twitter/1852180817394700731,@dd201704 @tankman2002 强人被一个口头大豆合同玩得七荤八素的
twitter/1853560108808077646,@JackPosobiec Are there any mobile abortion buses or buses to get your COVID-19 shot….
twitter/1857889659508109388,"@staci_blackburn I have 2600+ followers, so how is it possible only 9, or so, see my original posts? Very frustrating."
twitter/1858722614702658026,"Wendy, thank you for all of your time, knowledge, and dedication!   Patriots, please read this 👇"
twitter/1859591398028345842,苹果带来的幸福，在这个秋冬如约而至——阿克苏冰糖心苹果甜蜜到位，请品尝！＃大美新疆  The happiness that apples bring arrives as promised in this autumn and winter—Aksu sugar heart apples from Xinjiang are now delightfully sweet;please savor them!#BeautifulXinjiang $URL[0]
twitter/1860859126839939289,@DonnaMu17526414 @SenateGOP @ScottPresler @SenJohnThune @LeaderMcConnell @JohnCornyn @LindseyGrahamSC @TomCottonAR We will vote you out and advertise who to vote for by using yard signs on our personal property. $URL[0]
twitter/1862551403203358913,"Terrific review of a great biography of a true Chinese hero. Great job, Tunku. @tunkuv  @marklclifford $URL[0] via @WSJBooks"
twitter/1862928782837092773,"It is time for an honest discussion about Turkey’s role in destabilizing the Middle East.  Erdogan’s foreign policy began as a bold, rebellious, neo-Ottoman vision—an ambitious attempt to restore Turkey’s influence over former Ottoman territories. However, this vision was eventually co-opted to serve Western interests in the region. What proved intolerable to the West, however, was Erdogan’s growing hostility toward Israel, exemplified by incidents like the Mavi Marmara crisis.  The turning point came in 2016. On a fateful night, Erdogan found himself on the brink of elimination during the coup attempt. Forced to plead with his people over FaceTime—appearing like a character pulled from a bad parody—he narrowly escaped an assassination attempt by commandos at his resort in Marmaris. That night, the old Erdogan died.  The message from the West was clear: opposition to Israel’s agenda was unacceptable. Erdogan capitulated almost immediately. Since then, his resistance has been reduced to little more than hollow rhetoric. His behavior over the past 13 months underscores this transformation. Despite fiery speeches, Turkey continued to supply oil to Israel without interruption, and Erdogan has worked to undermine Assad—one of Israel’s staunchest adversaries in the region.  Critics are right to point out that the United States and Israel benefit most from these developments. Yet, their success would have been far harder to achieve without Turkey’s willing participation. Turkey has become a hub for militant state-sponsored Islamism, with its influence stretching from Syria through Central Asia to China’s Xinjiang region.  It is Turkey that targets so-called “Turkish brother nations” with a toxic blend of radical Islamism, revisionist history, pan-Turkism, and victimhood propaganda. This strategy not only extends Turkey’s influence but also radicalizes individuals, turning them into tools for Western geopolitical objectives. The infamous Crocus terrorist attack in Moscow, for instance, was traced back to Turkish training camps.  Meanwhile, the jihadis left festering in Idlib have been unleashed once more, spreading chaos across Syria as they did a decade ago. This chaos is not incidental—it is cultivated, supported, and funded by the Turkish state. Under Erdogan, Turkey has become the world’s largest state sponsor of terrorism, a willing accomplice in advancing the U.S. Empire’s objectives in the region.  The rest of Erdogan’s posturing is mere theater—smoke and mirrors designed to deceive only those still willing to believe in a dream that has long since died.  From Moscow to Beijing, it’s time to face this reality."
twitter/1863507343826108544,My letter of resignation to the YCL👇 $URL[0]
twitter/1880851822820417731,"Introducing the Federal Appropriations Accountability Act!   Every dollar counts.  Now, agencies must audit their spending or face clawbacks.  Let's ensure taxpayer money is spent wisely. $URL[0]"
twitter/1882869687643775401,@JennyKwanBC Or we could work with the USA to reduce drugs and migrant criminals.  BTW we just got a model Y.
twitter/1888946500597907531,"@DrLeoMarvin5 Why do identity politics psyoped leftists think it's okay to make violent threats? Then afterward, when there's consequences for such behavior, they still find a way to cry the victim?"
