msg_id,text
twitter/1105054742441590785,RT @puzhiqiang: 滕彪、许志永是北大法学博士，“三博士”还有俞江，没我。我是中国政法大学法学硕士，文凭和学位都是真的，但研究方向是古代法律文献，直到毕业还是个法盲，所以这本学位跟假的差不多。特此澄清哈！ $URL[0]
twitter/1335319293764898816,@xiadandan10 贵族精神从宋襄公和项羽成为所谓的笑料那天就彻底从这块土地上消失殆尽了！不择手段的成王败寇论则堂而皇之的上了台面，仁德守信却被视为愚蠢……商鞅、孙膑、鬼谷子、貓宰东等魔鬼恰恰利用了人的这些优点成就了各自的事业。无耻、无信、无德才能混的好啊，呵呵
twitter/1410518344680329216,🥲 $URL[0]
twitter/1411696487289954310,盖特说白了就是个垃圾平台，技术含量就不够，和找谁参与根本就没关系。           最近有点乱，还是奉劝一句，远离瘟贵！ $URL[0]
twitter/1415977185723121666,给视频中的女战友点一万赞👍。。。
twitter/1418933792283242500,@lude_media 前两天拿到了路德社的受害人名单，总共一百多位战友付出了太多的时间和精力，有的战友视频就做了600多个，有的工作上千小时……… 仅仅这张表上就有9位失联的墙内战友！还不算那些体制内舍命给他情报的战友！ 十恶不赦的亡腚缸，我等着你现世报！你终将遗臭万年！！！⋯⋯唐平蓋特
twitter/1529598887052328966,$URL[0] $URL[1]
twitter/1605533627860652032,@_luoyufeng_ @renshuaige1 @luoyufeng_ @whyyoutouzhele 墙内14亿，墙外66亿
twitter/1660275998863097856,Posting this one more time. The 10th May 2023 was a memorable day. One for the animals! Wx @GabyRoslin @BellaLack @bryanadams @NickyAACampbell @GylesB1 @DrBrianMay @CarolineLucas @ChrisGPackham @AmandaHolden
twitter/1661961463492378624,坚持
twitter/1704162844445692042,"New column: Go ahead, gag Donald Trump $URL[0]"
twitter/1712850781886628158,"@Chappyx06 @blavescoltd @yaelbt @BernardKerik Biden received 5 student draft deferments, 1st as an undergraduate at the University of Delaware &amp;  later as a law student at Syracuse University. And after a medical exam in April 1968, he received the '1-Y' classification, he could only be drafted in a national emergency."
twitter/1713301536783094272,@kangaroos991 Even tRump's bleach can't remove their stain. Kari Lake's filters can't touch it.
twitter/1740761805096394842,"@Peterhardwick17 @CrimeGirI @HollandCooper I think the camps were moved from critical eyes (from Channel 4 news report), but this relocation was not an improvement it would seem - they didn’t go home. It included forced labour camps, miles away from families and friends, beatings, abuse. $URL[0]"
twitter/1750066229497262247,It’s neck &amp; neck. Vote Thundercats or Snarf will teabag you in your sleep ⚡️🦁
twitter/1790110539169083781,@askaiwy 谢谢分享！就去看。
twitter/1793338972498022870,"@tamartin00 @SenMikeLee @lsferguson Do you live in a border city? Me thinks you don’t know what’s going on. Also, there is a bipartisan bill authored by a conservative Republican that Trump nixed. Trump owns the border."
twitter/1796232981222441186,與其抵制整個花蓮產業，一竿子打翻一船人，我認為應該力挺花蓮的1450商家；敢自我標示為1450認證優良商店的，我們應該發揮課金精神，大力消費支持才對。  讓花蓮的1450過得比別人爽，賺得比花蓮王的嘍囉更多，才能翻掉整個利出一孔的結構。
twitter/1805387976958263398,"- 1 mo. ago 40+ pers brawl @ English Bay, person stabbed - Heaps of open drinking/intoxicated young people - 2023: 300+ calls to English Bay, multiple weapons calls (May to Sept).   All for having a drink/enjoying  the beaches, but #publicsafety has to come 1st. #ContextMatters"
twitter/1817419007005282482,@AllenPu61 @byuzhngxi999 你妈个大傻逼整天只会造谣你家里是死人了吗
twitter/1818617769274831051,@hungy286188 @DaBingJingDuo 那被零元购的受害者尊严在哪里？？？
twitter/1819743373483254013,@whyyoutouzhele $URL[0]
twitter/1823210397601808617,"@Court1066408 @AdamBandt Yes, because China is legitimately our biggest trading partner and the US has no industry except a rotten permanent war economy that is verifiably leading us down the path of war &amp; ruin &amp; uses our country as a giant military base and gullible proxy"
twitter/1823217291690934619,@JenJenJennywren @Court1066408 @AdamBandt Willing to overlook China’s ongoing oppression and human rights abuses of the Uyghurs and other Muslim minorities in Xinjiang because.......why? Because they aren’t Jews?
twitter/1823898156515647672,@tianzige4 鬼子呸！
twitter/1824663085430211070,I have yet to meet a Democrat veteran who I would feel comfortable sharing a fighting position with.  I am not exaggerating.
twitter/1825515932812452344,@xiaoyushanshan 回关哦
twitter/1827244002917171529,Anyone who says Thundercats gets my sword right up their bum hole ⚡️🦁 $URL[0]
twitter/1831605409204883912,@Abdullah_Om3r03 I wish I could amplify your voices so that the entire universe could hear them. $URL[0]
twitter/1833026369770393921,秋天🍃🍂来了 柿子红了 $URL[0]
twitter/1834477926399742223,@liming19840420 回关啦
twitter/1842426769145741729,把Google Photos的照片都导入immich了 $URL[0]
twitter/1842529363075735863,收皮啦 低B仔 $URL[0]
twitter/1843349385117347870,"Hell yeah he's real! He's worked miracles in my life!   He saved my daughter and wife during childbirth when we were 30 miles away from the hospital in Franklin, TN. My wife was bleeding a lot. I was driving 115 MPH in our minivan and everyone moved out of the way at 4 AM on Interstate 65.  Again, God saved my wife during the childbirth of our fourth child. My wife wouldn't stop bleeding, and the placenta had broken apart. But God saved her that day!"
twitter/1844326839545893116,难怪红卫兵到处打、砸、枪、杀，无法无天，没警察干预。
twitter/1849335153086091576,"My reports on the hunt for Hezbollah gold under the Sahel hospital in Beirut and my return after Israel moved the goalposts and said we weren’t looking in the right place.   (Part one here, part two in comments) $URL[0]"
twitter/1850602978354368787,Early Voting Today After Church. $URL[0]
