msg_id,text
twitter/1188212249598537734,@xiaobolin88 @we2in1 谁为维吾尔恐怖分子洗地，我除了草你妈，没有什么好说的！
twitter/1196692115121528832,Here is an consolidated video that provides more context
twitter/1249308799724220417,I am so sorry for using wrong Thailand flag at the bottom right. And the following picture is correct...🇹🇭 $URL[0]
twitter/1268620623489560576,They were putting up signs to commemorate the death of George Floyd. He wasn't having it. $URL[0]
twitter/1268634812992106496,@VicStoddard $URL[0]
twitter/1299630400285732865,澳门卡开始用了，好在便宜，有点香。现在86，852，853 中港澳三地的卡都有了，有机会再撸一个台湾的卡，大中华全家桶就齐全了。😂 $URL[0]
twitter/1323941361586905092,"@jonathanwatts From the first day of acceptance of mail vote, it paved the way already."
twitter/1338241474538848256,@Moses20160512 摩西大叔的观察深刻！我举的也是日本🇯🇵旗！ $URL[0]
twitter/1352921650124247040,No you haven’t vaccinated 1 in 10 of the UK population. To vaccinate someone against #COVID19 requires two injections. You know this. Why not tell the truth for a change? Facts matter
twitter/1403305524037361666,$URL[0]
twitter/1411696713732005892,最近有点乱，还是奉劝一句，远离瘟贵！
twitter/1509699280260542474,Oops! Al Jazeera unwittingly documents Ukrainian nationalists ferrying their soldiers around in ambulances—another war crime: $URL[0]
twitter/1523905108219625472,@lijiedny @w_abstract 但她們並不在乎你。
twitter/1558705011885895680,$URL[0]
twitter/1578457536583200768,出国来一趟头发都干白了，浪漫的法兰西，照旧厕纸也上锁，哪里的太阳都晒人，外国月亮也不一定圆，现在想出来的底层人，已经后知后觉了，自作聪明，结果大概率竹篮打水一场空 $URL[0]
twitter/1602906593422675968,那个Stone记，别看了，大外宣，暴发户，小人得志的嘴脸  叼盘，洗脑，脑子稍微不清楚就被带歪  专门收割知识分子
twitter/1634030239302184966,今天早上拿着之前自己在招行开的一张VISA全币种国际信用卡想着开通OpenAI的付费账号，账单地址我选的是中国台湾台中市，最终卡片被拒了。想着之前时间线上有位热心的朋友 @Cydiar404 帮很多推友开通了，也就私信问了一下，他非常热心的表示可以帮忙。
twitter/1651920462602174464,@cute2uu @whyyoutouzhele 一月一千？我老爸一年一千多
