msg_id,text
twitter/1104402096252694528,RT @gaiyuyin: 这是个什么样的社区啊！昨夜下了30多厘米的雪，有点湿，很重，不好铲。早上睡懒觉到10点钟，开门一看该我们铲的雪都已经被邻居铲好了，连我们店铺门前大面积的积雪，也被不知道哪个朋友用大机器给铲好了。这就是加拿大，特别是乡村。
twitter/1272886671428771840,"@IRIglobal Today is the anniversary of #The2MillionMarch_616.  2 millions+1 Hong Kongers protest peacefully to show our anger. However, our voice is ignored &amp; our autonomy is further diminished by CCP.  We feel frustrated but we won't stop fighting for freedom &amp; democracy. #5DemandsNot1Less $URL[0]"
twitter/1298809989486833664,"For the longest time Senator Tim Scott reminded me of someone and I couldn't put my finger on it then it hit me: #MushMouth one of the #CosbyKids  No offense meant for the Junior Senator from South Carolina, just they bare a striking resemblance  to me. $URL[0]"
twitter/1299739843325505539,@ProjectLincoln #TrumpIsNotWell pass it on. $URL[0]
twitter/1302398988499419138,圖一圖二洪晃的父母，這樣一對俊男美女會生出洪晃這樣醜的孩子？那人類遺傳學真是要改寫 另外，洪晃3與毛澤東兒子毛岸英4倒是驚人相似，毛家的蒜頭鼻+小眼睛完美保留 61年毛澤東政治不如意，正大肆搞女人，章含之此時懷上龍種也有可能，這樣才能解釋章含之開掛的人生 $URL[0]
twitter/1403305446803443717,Edge of Darkness (1985) UK tv series Scared the crap out of us during the Thatcher years * IMDb clip in thread $URL[0]
twitter/1523971201269444610,@June13531600 @w_abstract 自作多情了😁
twitter/1572629621967060992,"@bikhim Taiwan should not continue to hope to join the UN, which now has no role in maintaining peace. Russia invaded Ukraine and the UN was not able to stop the war. Even if Taiwan were a member of the UN, the UN would not be able to play a role in helping Taiwan when China attacks it."
twitter/1586589620145471489,码字不易，且看且珍惜，认为我说的有道理的，留个言，想骂我的轻点骂…… $URL[0]
twitter/1619594573139030016,@ligun20955623 @luoyufeng_ 粉红买帮凶也 不得好死
twitter/1701186774884655503,"@SnarkyCatCorn @shipwreckedcrew Exactly… to everything   Also, by then, they’re hoping Trump will have been defeated as a result. Which is what Dems always intended."
twitter/1703560868376551424,"@LauraLoomer @RonDeSantis I smell a LOOMER visiting Texas. Welcome!  Texas just defeated the Bush Cabal, we damn sure don't need Bush 2.0 Rino Ronnie!  TEXAS IS TRUMP COUNTRY!"
twitter/1704433811088384356,"@jawillick Well, look at this BS article, in where you fail to mention the threats of violence Trump is promoting."
twitter/1712284260860907849,亭亭玉立 $URL[0]
twitter/1775823945054257380,"This is a refreshing antidote to all the preachy nonsense about how to feed kids  Make tasty food. Eat it together, if you can. Don't stress out or pressure them.   If they want some jam or chocolate, great  $URL[0] via @ft"
twitter/1787855281604776003,至少开放 hypervisor
