msg_id,text
twitter/1102174996137500673,@wanli198964 中国三博士，中国人的良心，藤彪，许志永，浦志强。
twitter/1193753413411950593,"Huge crowd chanting and flipping off police in the heart of Hong Kong's business district. Seconds after this, they fired tear gas. $URL[0]"
twitter/1249304543285800960,I guess every country in Asia-Pacific region except that particular one could form a team... 😂😂😂 #nnevy #nnevvy  #TogetherWeCan $URL[0]
twitter/1300380631306706944,"Lots of flowers being left at Prince Edward Station on the one-year anniversary of the 8 31 incident, despite a large police presence. $URL[0]"
twitter/1302420118320812032,Some of you in these comments need to chuck down red pill cocktails regarding mail in votes. It's been proven for the umpteenth time that this is a movie. Potus keeps mentioning mail ins to cast light on those damn cheating Dems. It does NOT mean they'll be allowed this time🙄🤦🏾‍♂️
twitter/1320081610763505667,I stand with the people of Hong Kong. #Save12HKYouth #StandwithHongKong $URL[0]
twitter/1332951951038836742,@SharonRoseJP 有血性确实可爱，血性所承载的又是正义和良知，那更值得尊敬！他们为正义发声，不论是什么民族，也不论在世界的哪个角落，都是我们心中的英雄🙏🙏🙏👍👍👍
twitter/1341378813540745216,@Marco201202 @WanHuang2 对她的同情也仅仅是被限制自由旅行人权方面的同情，但这种高干家庭掌握的国家机密太多限制出国也有原因，至于周氏父子牢底坐穿刚好而已，既然卷入政争就要承担应有的成败后果，雍正王朝电视就是样板，中国历代王朝都一样不是你死就是我活，血滴子满天飞！
twitter/1353046434359226370,"It’s negligent to say people have been vaccinated after 1 jab &amp; doing so could lead to unnecessary infections (&amp; deaths). There have been approx 470,000 people vaccinated in the UK so far (~1 in 140), less than a year after our first #COVID19 case. That truth is worth celebrating"
twitter/1410518346676715529,Shameless ask: who do you think should follow us? Tag them below!
twitter/1418933678198099980,@lude_media 在墙内以前给路德社爆过料和做过义工的战友们，如果你们曾经把自己的个人信息给过亡腚缸，请一定要保护好自己的安全。这孙子随时都有可能出卖战友！请一定要准备两个以上手机，有一个手机绝对不能有翻墙的痕迹。这位墙内战友没有G系列的投资，照样被找上门，一定是被亡腚缸出卖的，他的经验大家可以借
twitter/1462168236498292738,LeBron James' position on speaking out against CCP atrocities basically boils down to: 'Chinese people buy sneakers too.'
twitter/1497211621604671495,"RT @IAPonomarenko: REMEMBER!!! Not a single picture of Ukrainian vehicles or manpower posted online, anywhere. DO NOT DISCLOSE THEIR LOCATION TO THE ENEMY!"
twitter/1586778548341276675,@zz5201314188 国人，无论润出来的还是在国内的，极少数关心政治，极少数中的一部分又前怕狼后怕虎，因为从小到大就没有这种环境让你议论 ，极少数中的另一小部分又是极端主义的人格，和这样的人讨论下去只能为自己树敌，所以能和你议论的是极少数中的极少数的极少数，寥寥无几哈
twitter/1597332671667273728,@GFWfrog 聪明👍
twitter/1605546395095617536,@Phoebus_Ji @renshuaige1 @luoyufeng_ @whyyoutouzhele 墙外66亿分散在面积是墙国30倍大小的土地上 而且已经早已群体免疫，人均病毒载量低
twitter/1681408557521010693,Just got back from 10 days in Beijing. I’m a terrible photographer but in this thread I’ll share a few pictures and videos from the trip.  The video below is of a great evening on the Liangma river. They’ve cleaned it up a bunch and the people are using it for all kinds of fun. $URL[0]
twitter/1703405260512141606,亲切，感动，即使其他国家都躺平了，我们人类还是有希望 🥹 $URL[0]
twitter/1740762592451469401,"@Peterhardwick17 @CrimeGirI @HollandCooper So the genocide, or brutal crackdown, may be less visible. But there are numbers still being harmed, possibly to make more tat we don’t need. Although my cold feet may disagree.   Like most crimes, look away and it resurfaces. Such as forced labour around world inc UK."
twitter/1780991094987051413,@MichaelGerner3 this one’s for ya 😂 sending good vibes during my moving $URL[0]
twitter/1796832511475245397,@Hayek_Rightist 看把殖畜给急的
twitter/1804059096813092919,如何利用开源项目赚钱？这个仓库列举了很全面的案例和优缺点：  $URL[0]
twitter/1805628030775095613,"10/19 Assange is an agent of russian disinformation. A genuine journalist would never host a talk show on RT. In the same year his show premiered, Assange chose not to publish a leak concerning a 2 billion euro transaction between Assad and a russian government bank. $URL[0]"
twitter/1817110285779689945,@byuzhngxi999 中国队只派了400多名队员，但是采访人员约2000人
twitter/1818841893020868865,@PDChinese @txs28175513 互关
twitter/1829444450298265815,@SchieferTomTom Palestine is a scam $URL[0]
twitter/1838968312673243633,"@alexnunns @PeterWillsman Speak for yourself.  You aren't the public. Seriously,  the delusion.."
twitter/1843583028695834757,"Len年轻时是个自学成才的技术狂,特别痴迷密码学和协议开发。18岁的时候，Len 任职于互联网工程任务组，负责互联网底层的 TCP/IP 协议以及后来的比特币网络。  1999年，Len和BitTorrent的创始人Bram Cohen一起搬到了湾区，加入了Cypherpunks组织。在那儿他遇到了导师David Chaum，这人可是区块链的发明者。作为比特币的创造者，这开局不错吧?"
twitter/1844245159070007554,@tanglang96 就我的阶层来讲，日本是够的到的比较好的选择。工薪阶层，食品安全不用担心，医疗有保障，孩子教育日本算公认亚洲顶流教育了，但我不打算有后代，所以，无所谓，多缴税。 很难想象，我在国内会过什么样水深火热的日子。 单单是地沟油预制菜就够普通人减寿的了。
twitter/1845232529902891447,@paooo79 废物。 $URL[0]
twitter/1850904621289542111,@Lostlanding 但是话又说回来了，我党日后也同意让蒙古建国了。不结合具体情况来看是没办法讨论好历史的
twitter/1853835480694947943,"I'm in a deep red part of swing state Pennsylvania, and all the voting machines are broken across this county and the neighboring ones.  People are stranded in line, and a constable told them they don't get the machines working by 10PM, they will turn people away.  I'm not sure what to do."
twitter/1853839848412447093,Updated: Cambria County is extending the voting period  IMO it's not a coincidence that this is a problem in areas critical for Trump's support. $URL[0]
twitter/1858524322685493393,Join us tomorrow at 9:00 EST for the virtual launch of @hk_watch's report on how the rule of law and human rights situation in Hong Kong has declined as a result of HK's national security laws.   Register here: $URL[0]
twitter/1859359340211417508,在世界遗产城市泉州刺桐城建造 从刺桐港起航 千年造船技艺 谱写海丝辉煌 故里涛声依旧 福船再度扬帆 承载历史的荣光 逐梦更远的远方 $URL[0]
twitter/1862089803279577307,@nnt869240878184 @xuejianosaka @TTmomo20220222 互关哦
twitter/1863000258202247347,@DlugajJuly @KELMAND1
twitter/1872235602952990766,@Along_Catcat @Konekoutena @whyyoutouzhele +
twitter/1873852597440008294,@andrewaperez I can't wait till the CSIS investigation releases its contents at the end of January. Some politicians will be going to jail. It won't be liberal MPs
twitter/1874505897516691540,Minus 17% favourability across the country and you expect me to believe close to half the population will vote for Pierre?   #NeverPoilievre2025 #WomenAgainstPoilievre2025 $URL[0]
twitter/1886961761292837323,"@BarbraT1961 @GuntherEagleman @heather_wynalda @DOGE you're clueless.... He refused his presidential salary. Very much unlike Obama and Biden, not only accepted their pay but made a windfall through other slimy deals.  Trump is possibly the first president in history whose net worth declined when President and in subsequent years."
twitter/1889694354727489807,Some big numbers here:   House GOP seeks $4 TRILLION increase in debt limit.   Tax cuts would cost $4.5T over 10 years.
twitter/1890572563069235504,"GM Frens, let’s see your best effort! $URL[0]"
twitter/1890897392783724544,DOJ could have dropped the Adams case without generating this much blowback $URL[0]
twitter/1894697398817235079,“钓鱼岛一直以来都是中国的一部分！” 这无论是来自大陆或者台湾，还是来自香港或者澳门的绝大多数中国人民都一致认同的观点！ ❤️🇨🇳🤝🇹🇼🤝🇭🇰🤝🇲🇴❤️ #钓鱼岛 #中国大陆 #中国台湾 #中国香港 #中国澳门 $URL[0]
twitter/1894936468306407779,@MiguelTrick @unusual_whales I’m pretty sure they can afford the 5 million. As can the CCP and terror organizations. This is exactly why we should not be doing anything like that. We are not an economic zone.
twitter/1897339001620910178,@sopjap Democracy is being at War for 222 years of US existence… it seems
twitter/1897455261394043071,The director said it was the  wrong message  to send to Black people in America . So they fired HIM 🇺🇸 Thoughts 💭 ⁉️ $URL[0]
twitter/1898581298400133566,Made in the west. $URL[0]
twitter/1899808854881264067,"For decades, all continuing resolutions included a carve-out so DC government was not treated like a federal agency. In 2025, @HouseGOP struck it.  If passed by the Senate today, DC government must cut $1.1 billion, defunding police, schools, &amp; services:  $URL[0]"
twitter/1908607400753672205,"I am heartbroken 💔   My husband passed away in his sleep 😢  last night. Peacefully the coroner said.  I am lost, this is surreal.  He was 66 years old."
twitter/1927673073009823904,@BEHNAMsf99 📣بازرس که چیزی نیست! برو بالاتر ... $URL[0]
twitter/1928332630962888719,我想我是猫，喵喵的花猫，喵喵~ $URL[0]
twitter/1928367498421780586,RT @LamarAl18174155: 360度，桂林没死角。 不是ai $URL[0]
twitter/1929823201825378659,@johnsy123aus @0bsfromafar 1000% agree. We close a few corporate loopholes and it’s not even difficult.
twitter/1945886104709657087,"The larger cap $XLE is up just +.1%, yet the more smaller cap $XOP is up +1.13%. Similar price action in $SPY vs $IWM. Not sure what's causing this, but the selling of larger, safer names isn't encouraging."
