id_i,msg_id
twitter/3868113935,twitter/1834607263899672586
twitter/1266165136898895872,twitter/1897712978134548892
twitter/1653082575567724544,twitter/1825515932812452344
twitter/757281780407738368,twitter/1889472182796923037
twitter/25282365,twitter/1704433811088384356
twitter/6784722,twitter/1841427129508192291
twitter/1682637075085164544,twitter/1850131648966459716
twitter/1651202505127391233,twitter/1860606931548938422
twitter/1350069356047212544,twitter/1416257830575906824
twitter/1164169536742023177,twitter/1873739190183342416
twitter/1630865077762138112,twitter/1661943427385393152
twitter/1030642280,twitter/1812931497328013450
twitter/993199663,twitter/1900246442759119159
twitter/15631093,twitter/1634030239302184966
twitter/908943769981956097,twitter/1509699280260542474
twitter/889582208557731840,twitter/1899593046947197031
twitter/2385106262,twitter/1155447354385768448
twitter/847562280,twitter/1350980101220036611
twitter/1266165136898895872,twitter/1908651203346547099
twitter/2460279166,twitter/1861110868039119312
twitter/1619878405,twitter/1929643441988005918
twitter/1828520552585158656,twitter/1890585142634189129
twitter/701643875304116224,twitter/1920435203925029251
twitter/1463328397669519362,twitter/1899804432646213710
twitter/1544498412694806530,twitter/1558705011885895680
twitter/1011008340367953920,twitter/1462168676224974849
twitter/1190895823674105856,twitter/1806939512888570212
twitter/111014459,twitter/910541716230246400
twitter/1438332160377819138,twitter/1861492922388185271
twitter/56460795,twitter/1293858207874465792
twitter/1205537149556264965,twitter/1586778548341276675
twitter/201199449,twitter/1820875310562169200
twitter/399128036,twitter/1298809989486833664
twitter/3080907712,twitter/1348537600886370304
twitter/1201888874378780674,twitter/1905650899076223048
twitter/1247739396813549569,twitter/1523905108219625472
twitter/1390814785541971972,twitter/1932086833808060806
twitter/14697183,twitter/1927683773564395576
twitter/72260786,twitter/1775823945054257380
twitter/1201888874378780674,twitter/1905648935433355604
twitter/793542678377926656,twitter/1824663085430211070
twitter/1820257325573431296,twitter/1881989270652715474
twitter/1081878133664612352,twitter/1886961761292837323
twitter/744381187,twitter/1873933067158753464
twitter/1502185069590757376,twitter/1859359340211417508
twitter/2721254012,twitter/1497211621604671495
twitter/1245134285230637057,twitter/1332951951038836742
twitter/1611330764888739841,twitter/1909877571229220934
twitter/1659556481505607681,twitter/1897717612186161176
twitter/1858572661594415104,twitter/1898170082146111834
twitter/15530583,twitter/1848365079072329827
