id_i,msg_id
twitter/4064434513,twitter/1869775388760752589
twitter/1427776299012087810,twitter/1701119929087393890
twitter/245994374,twitter/1898588592340885561
twitter/1704304318495723521,twitter/1796832511475245397
twitter/1729107578917957632,twitter/1805628038240932247
twitter/53104807,twitter/1897728925507178980
twitter/1527689488549703680,twitter/1794376703059603722
twitter/1476735846825226245,twitter/1853456625115509059
twitter/1175221,twitter/1899808857028767766
twitter/970938104973549568,twitter/1890729439002333235
twitter/757281780407738368,twitter/1893669581224288601
twitter/16533487,twitter/1897693566379421783
twitter/25282365,twitter/1822212340357451960
twitter/1588064749354307584,twitter/1784596864861606270
twitter/1600956195770023936,twitter/1897468986583080964
twitter/15201979,twitter/1523294547555807233
twitter/1129279740068737024,twitter/1723621901073793509
twitter/140487956,twitter/1875197377469923342
twitter/1643243665148760072,twitter/1827689874369188022
twitter/705505090531151872,twitter/1572629621967060992
twitter/701251718109986816,twitter/1714847813363015927
twitter/705505090531151872,twitter/1681271548227756032
twitter/328576792,twitter/1352921650124247040
twitter/26425847,twitter/1712334177691975850
twitter/913202969503346688,twitter/1805387974479429790
twitter/1631578930737209346,twitter/1890314027462500732
twitter/1079764836676816902,twitter/1338241474538848256
twitter/22168210,twitter/1871621308712157471
twitter/913202969503346688,twitter/1805387976958263398
twitter/1190393433644339200,twitter/1712850781886628158
twitter/3877924333,twitter/1790395097554796559
twitter/3225098708,twitter/1272886671428771840
twitter/2721254012,twitter/1323941361586905092
twitter/22873354,twitter/1840433625705201868
twitter/1764829765607792640,twitter/1819368546247582038
twitter/1739893930970296320,twitter/1797276533867856100
twitter/1586383993515266049,twitter/1806898907219378187
twitter/1438332160377819138,twitter/1852180817394700731
twitter/1825463722485465088,twitter/1862055700970819712
twitter/115701144,twitter/1823376041588478310
twitter/1502185069590757376,twitter/1859728656312283529
twitter/111014459,twitter/894727241745154048
twitter/14134204,twitter/1878537556544868542
twitter/100188103,twitter/1660275998863097856
twitter/792583894197567489,twitter/1844245159070007554
twitter/1704021913939615744,twitter/1823217291690934619
twitter/1457998356978946053,twitter/1817110285779689945
twitter/201199449,twitter/1818678102425260341
twitter/1118560896450646016,twitter/1884969090227515610
twitter/1790910575750385664,twitter/1897341819354321197
