id_i,msg_id
twitter/55285103,twitter/1675395899156226050
twitter/1876155543787859968,twitter/1924641763417084065
twitter/1661465634616516611,twitter/1818250740982276507
twitter/147476095,twitter/1268472606723846144
twitter/1706689638541434881,twitter/1863000258202247347
twitter/1095865773279461376,twitter/1249308799724220417
twitter/894164382443200512,twitter/1895095705284309369
twitter/1686786892287950848,twitter/1824649076132229269
twitter/1692569552570503168,twitter/1838754985708019762
twitter/855036990,twitter/1711840820616167610
twitter/848221767361482752,twitter/1712583186109419550
twitter/2439588188,twitter/1853623896412422506
twitter/1594486270557839365,twitter/1897359364782219710
twitter/1651202505127391233,twitter/1852925338688614561
twitter/701643875304116224,twitter/1929335244965953933
twitter/17377637,twitter/1868123365791191341
twitter/135813522,twitter/1946764316252008629
twitter/57140687,twitter/1193753413411950593
twitter/2608241,twitter/1796232981222441186
twitter/587074680,twitter/1783540984049029381
twitter/3310056226,twitter/1905791235819778429
twitter/427743501,twitter/1887246764668789136
twitter/1704304318495723521,twitter/1817419007005282482
twitter/102628272,twitter/1927788728912597296
twitter/75050644,twitter/1891199971439116740
twitter/1605190297662754816,twitter/1840881052140577088
twitter/1830816031872557057,twitter/1861421801823519155
twitter/1717723905509797888,twitter/1861419622622470408
twitter/311857483,twitter/1843349385117347870
twitter/1790910575750385664,twitter/1897651278877966462
twitter/14697183,twitter/1323940156248887296
twitter/309070309,twitter/1897353433314918909
twitter/1663250673515786240,twitter/1703560868376551424
twitter/859126951801274368,twitter/1852165960326906211
twitter/1562935142,twitter/1795835267355750557
twitter/1245134285230637057,twitter/1335319293764898816
twitter/1336551801508655105,twitter/1846452773963104369
twitter/3283901,twitter/1920134802306387988
twitter/891119762847277056,twitter/1820549447794761819
twitter/45741827,twitter/1196692115121528832
twitter/1520773345532338176,twitter/1897455261394043071
twitter/1738514066333937664,twitter/1781697881768173633
twitter/1012426446,twitter/1870873701778182599
twitter/1351907056610127873,twitter/1775560830387699896
twitter/793542678377926656,twitter/1824647342978400292
twitter/311857483,twitter/1841977954395619470
twitter/1071583022846115840,twitter/1775559171901124805
twitter/1663250673515786240,twitter/1905647619931554142
twitter/309070309,twitter/1869135011817168951
twitter/580114637,twitter/1320081610763505667
twitter/1455821491543683072,twitter/1840401884693053880
