id_i,msg_id
twitter/2439588188,twitter/1853624882145435662
twitter/57140687,twitter/1300380631306706944
twitter/1241035399012569088,twitter/1302348704213381120
twitter/1692569552570503168,twitter/1838754705222307979
twitter/24181760,twitter/1920123733185818916
twitter/1653082575567724544,twitter/1825516714815373387
twitter/1427320507792171034,twitter/1896976728758870029
twitter/1653825464920580106,twitter/1867367783576567840
twitter/1476735846825226245,twitter/1833026369770393921
twitter/17434665,twitter/1669305580094144513
twitter/1513864060713902083,twitter/1844089129824616566
twitter/993520008,twitter/1707943788881305667
twitter/5836822,twitter/1568974571734450178
twitter/53104807,twitter/1825906233011830800
twitter/348559988,twitter/1897422953588896147
twitter/1661465634616516611,twitter/1861663384489414951
twitter/1527689488549703680,twitter/1794376701335789636
twitter/14844867,twitter/1790734437811921208
twitter/1241035399012569088,twitter/1302420118320812032
twitter/852619816254939136,twitter/898120607925239808
twitter/55285103,twitter/1674114785993170944
twitter/1594486270557839365,twitter/1926835604244885786
twitter/962986011256004608,twitter/1403305446803443717
twitter/1283409799191752707,twitter/1877474222831792395
twitter/75050644,twitter/1902015358695035350
twitter/813311526266437632,twitter/1734194361724801030
twitter/948428960483876864,twitter/1681931973156286464
twitter/1400147732141068294,twitter/1891212114569593157
twitter/1118560896450646016,twitter/1884969365638160428
twitter/1764829765607792640,twitter/1818841893020868865
twitter/824460816,twitter/1268620623489560576
twitter/1526748380504150016,twitter/1834477926399742223
twitter/100188103,twitter/1824850395979554923
twitter/1540583412582567936,twitter/1849551669295759698
twitter/1415161108516597766,twitter/1522079855206035457
twitter/1308936076724117506,twitter/1878513181087396185
twitter/1781187929538527232,twitter/1900710203445964885
twitter/409548427,twitter/1890897392783724544
twitter/4871096265,twitter/1860859126839939289
twitter/72260786,twitter/1775824128450195850
twitter/92239108,twitter/1410518346676715529
twitter/592326946,twitter/1417508754090729475
twitter/1247739396813549569,twitter/1790110539169083781
twitter/1772203187342315520,twitter/1843583023587176642
twitter/1320285523647184896,twitter/1418933792283242500
twitter/859126951801274368,twitter/1763761160170660318
twitter/838033969954320385,twitter/1726309222445654166
twitter/1651804028702175232,twitter/1718083679098896807
twitter/1320503314753056770,twitter/1840079848754295032
twitter/1109522844851961856,twitter/1852794961781285247
twitter/1825463722485465088,twitter/1859591398028345842
