id_i,msg_id
twitter/1128224053934690305,twitter/1842529363075735863
twitter/889582208557731840,twitter/1899588164920238550
twitter/19718279,twitter/1862551403203358913
twitter/3310056226,twitter/1929819749992804809
twitter/1675577423075713025,twitter/1873752608177053915
twitter/400859124,twitter/1822092531800441266
twitter/245994374,twitter/1898581298400133566
twitter/913660617348673536,twitter/1863533956567855215
twitter/1803412451188416514,twitter/1819572245452542253
twitter/915054058037059584,twitter/962181740201615360
twitter/1464032947120619521,twitter/1862928782837092773
twitter/1079818036000030723,twitter/1843458376879239174
twitter/1404556131452653569,twitter/1899660534309609554
twitter/848221767361482752,twitter/1793338972498022870
twitter/6784722,twitter/1842426769145741729
twitter/40154522,twitter/1701186774884655503
twitter/2385106262,twitter/1188019747129921536
twitter/2917823769,twitter/1945885572662247429
twitter/1643243665148760072,twitter/1818617769274831051
twitter/1128224053934690305,twitter/1841412664343548317
twitter/1164169536742023177,twitter/1706695926637637725
twitter/2229225541,twitter/1602906593422675968
twitter/705650882,twitter/1866165186434126321
twitter/3877924333,twitter/1790373348398272520
twitter/1269666360969265152,twitter/1860857539883118732
twitter/260557395,twitter/1820677820613333009
twitter/1265111322586316801,twitter/1825197571121582515
twitter/260557395,twitter/1820872306924908969
twitter/1605190297662754816,twitter/1831604465134186739
twitter/1772203187342315520,twitter/1843583028695834757
twitter/943437575028699137,twitter/1268658677722099715
twitter/36163784,twitter/1861175006190772492
twitter/1858572661594415104,twitter/1875927295980171697
twitter/1320285523647184896,twitter/1418933678198099980
twitter/921272455691321344,twitter/1845130663101596138
twitter/861727430,twitter/1475840551534608387
twitter/4871096265,twitter/1861494118108545085
twitter/1764858531134533632,twitter/1897339016187674625
twitter/1351907056610127873,twitter/1775573322568286479
twitter/42969356,twitter/1739939218732753379
twitter/1186979575,twitter/1105054742441590785
twitter/42969356,twitter/1831605409204883912
twitter/1739893930970296320,twitter/1846939643557581103
twitter/1265111322586316801,twitter/1824834426536395155
twitter/1263524305977122823,twitter/1827280418850148377
twitter/1759855218722799616,twitter/1894697398817235079
twitter/1843615397339357184,twitter/1862089803279577307
twitter/3283901,twitter/1919427524981096906
twitter/1526748380504150016,twitter/1849694942513488382
twitter/1415161108516597766,twitter/1522077455845974017
