id_i,msg_id
twitter/400859124,twitter/1781695528717496694
twitter/970938104973549568,twitter/1890729427321212951
twitter/855036990,twitter/1711841000199479379
twitter/2460279166,twitter/1700488728643281040
twitter/1095865773279461376,twitter/1249304543285800960
twitter/1513322040,twitter/1823210397601808617
twitter/587074680,twitter/1783541151561121939
twitter/328576792,twitter/1353046434359226370
twitter/852619816254939136,twitter/894787636279349248
twitter/894164382443200512,twitter/1893800046564462916
twitter/1792231432326119424,twitter/1819738154233974897
twitter/1854076304959905792,twitter/1872235127893622931
twitter/44331152,twitter/1859461389653508375
twitter/1854076304959905792,twitter/1872235602952990766
twitter/1484285901140373505,twitter/1929925828873208285
twitter/15220945,twitter/1904626049100415398
twitter/1513864060713902083,twitter/1804059096813092919
twitter/17377637,twitter/1868637911283048845
twitter/14831475,twitter/1681490486811590656
twitter/16850171,twitter/1787855281604776003
twitter/44331152,twitter/1859460752102523004
twitter/1630865077762138112,twitter/1661961463492378624
twitter/1079818036000030723,twitter/1781480676295913896
twitter/1820257325573431296,twitter/1901783801480523809
twitter/1763399553108398080,twitter/1824740538203177240
twitter/1743640074351472640,twitter/1899412172087980495
twitter/92239108,twitter/1410518344680329216
twitter/4848607524,twitter/1882869687643775401
twitter/1651804028702175232,twitter/1712284260860907849
twitter/1175398772391723008,twitter/1850904621289542111
twitter/121963311,twitter/1862371775281340635
twitter/4848607524,twitter/1883972763788235053
twitter/1717723905509797888,twitter/1825515285249732821
twitter/399128036,twitter/1298999734816907267
twitter/1205537149556264965,twitter/1597332671667273728
twitter/1079764836676816902,twitter/1332925401325191168
twitter/824460816,twitter/1545008213871009792
twitter/885461702912860161,twitter/1578457536583200768
twitter/1219169353855143936,twitter/1927035215068741787
twitter/1379705059307569152,twitter/1827244002917171529
twitter/2470055959,twitter/1268634812992106496
twitter/1804819293932318721,twitter/1819539858580558028
twitter/3225098708,twitter/1193763017499955201
twitter/1629035943054438400,twitter/1861227560795009246
twitter/26425847,twitter/1713301536783094272
twitter/1263039637590872066,twitter/1839006384563552677
twitter/3242723604,twitter/1929539679981867210
twitter/1788298379455279105,twitter/1897336418424455220
twitter/580114637,twitter/1882508357833212178
twitter/1390814785541971972,twitter/1897398064375361775
twitter/1071583022846115840,twitter/1775565534026965213
