id_i,msg_id
twitter/5836822,twitter/1568974009576083456
twitter/1350069356047212544,twitter/1415977185723121666
twitter/847562280,twitter/1351217063306678272
twitter/1512255277214617639,twitter/1848252268534984933
twitter/15220945,twitter/1904628105085669616
twitter/3868113935,twitter/1834608076046873012
twitter/1014060822341926912,twitter/1102174996137500673
twitter/226273941,twitter/1849335153086091576
twitter/2878700520,twitter/1188212249598537734
twitter/1797536627625238528,twitter/1951420222784807131
twitter/15499905,twitter/1871134346410860568
twitter/1436302916571312139,twitter/1868402387398037739
twitter/908943769981956097,twitter/1898152939182501906
twitter/1030642280,twitter/1681408557521010693
twitter/1685873604,twitter/1706683384498356379
twitter/2878700520,twitter/1302398988499419138
twitter/1512255277214617639,twitter/1946991496823275642
twitter/979752282,twitter/1520142871822700544
twitter/1484285901140373505,twitter/1929646851130585592
twitter/1588064749354307584,twitter/1785949440471339483
twitter/21315931,twitter/1908607400753672205
twitter/1706689638541434881,twitter/1856575076768067718
twitter/2229225541,twitter/1605546395095617536
twitter/56460795,twitter/1293858191600521224
twitter/948428960483876864,twitter/1619594573139030016
twitter/121963311,twitter/1605533627860652032
twitter/22873354,twitter/1849797322663768175
twitter/1219169353855143936,twitter/1927667253245350231
twitter/1781187929538527232,twitter/1929823201825378659
twitter/1011008340367953920,twitter/1462168236498292738
twitter/1336551801508655105,twitter/1846763700503683475
twitter/1439149054328406024,twitter/1845215002162241968
twitter/1784785800153927680,twitter/1875222367297007883
twitter/1830816031872557057,twitter/1861423220454531543
twitter/3080907712,twitter/1523971201269444610
twitter/1305977989,twitter/1855732268175638958
twitter/15577507,twitter/1697632939373371900
twitter/1631578930737209346,twitter/1890307571736543246
twitter/14041792,twitter/1908859231526146150
twitter/115701144,twitter/1896703623863914789
twitter/1784785800153927680,twitter/1897655978037825782
twitter/806321012136640512,twitter/1790582791157002303
twitter/2294577649,twitter/1411696713732005892
twitter/2294577649,twitter/1411696487289954310
twitter/1436139230145753090,twitter/1819201346022920374
twitter/39366506,twitter/1205357051133620224
twitter/704857882743812099,twitter/1651899187532034051
twitter/1436139230145753090,twitter/1716258203464593553
twitter/1175398772391723008,twitter/1850903863345197565
twitter/1190895823674105856,twitter/1790140254533394566
twitter/102628272,twitter/1927673073009823904
