user_i,tweet_id,user_j
twitter/17434665,twitter/1102174996137500673,twitter/72260786
twitter/1464032947120619521,twitter/1102174996137500673,twitter/3242723604
twitter/24181760,twitter/1188019747129921536,twitter/1792231432326119424
twitter/1759855218722799616,twitter/1188019747129921536,twitter/4871096265
twitter/1764829765607792640,twitter/1193753413411950593,twitter/1611330764888739841
twitter/1663997804602355713,twitter/1193753413411950593,twitter/1308936076724117506
twitter/701251718109986816,twitter/1205356610488430592,twitter/53104807
twitter/948428960483876864,twitter/1205356610488430592,twitter/1803412451188416514
twitter/156972610,twitter/1249304543285800960,twitter/1858572661594415104
twitter/1205537149556264965,twitter/1249304543285800960,twitter/1773101145767972864
twitter/1830816031872557057,twitter/1293858191600521224,twitter/891119762847277056
twitter/42969356,twitter/1293858191600521224,twitter/1653082575567724544
twitter/1600956195770023936,twitter/1298809989486833664,twitter/1247739396813549569
twitter/44748523,twitter/1298809989486833664,twitter/913202969503346688
twitter/1596449132964708354,twitter/1302348704213381120,twitter/4871096265
twitter/14041792,twitter/1302348704213381120,twitter/92239108
twitter/1263039637590872066,twitter/1350980101220036611,twitter/1305977989
twitter/1685873604,twitter/1350980101220036611,twitter/4871096265
twitter/15201979,twitter/1352921650124247040,twitter/25282365
twitter/26425847,twitter/1352921650124247040,twitter/5836822
twitter/1464032947120619521,twitter/1403305446803443717,twitter/400859124
twitter/1079818036000030723,twitter/1403305446803443717,twitter/1109522844851961856
twitter/135813522,twitter/1410518344680329216,twitter/75050644
twitter/899233803851276288,twitter/1410518344680329216,twitter/72260786
twitter/1484285901140373505,twitter/1415977185723121666,twitter/3310056226
twitter/1804819293932318721,twitter/1415977185723121666,twitter/1653082575567724544
twitter/1455821491543683072,twitter/1418933678198099980,twitter/1109522844851961856
twitter/4848607524,twitter/1418933678198099980,twitter/701251718109986816
twitter/1116313997463183363,twitter/1462168236498292738,twitter/15577507
twitter/848221767361482752,twitter/1462168236498292738,twitter/704857882743812099
twitter/1269666360969265152,twitter/1520142866814685186,twitter/1129279740068737024
twitter/921272455691321344,twitter/1520142866814685186,twitter/75050644
twitter/1263524305977122823,twitter/1522077455845974017,twitter/705505090531151872
twitter/1030642280,twitter/1522077455845974017,twitter/580114637
twitter/1463328397669519362,twitter/1523293259505623041,twitter/1011008340367953920
twitter/1539499688071938048,twitter/1523293259505623041,twitter/1455821491543683072
twitter/1704021913939615744,twitter/1523905108219625472,twitter/1830938551107932160
twitter/1452733698164596741,twitter/1523905108219625472,twitter/3745055235
twitter/592326946,twitter/1558704886061080588,twitter/140487956
twitter/1241035399012569088,twitter/1558704886061080588,twitter/1763399553108398080
