id_u,name,intro,platform,following_count,follower_count,posts
twitter/242355136,Patrick M. Cronin,"Asia-Pacific Security Chair, Hudson Institute  & Scholar in Residence, Carnegie Mellon University UF, Oxford, USNR, CRS, CNA, INSS, USIP, CSIS, IISS, CNAS",twitter,11520,14477,9023
twitter/1522083826591318017,铁柱哥在CRYPTO,研究员，Crypto/美股/A股，阶段性有所侧重，跨市场寻求更高的贝塔系数。前银行总行半导体/政策研究员，#RWA #AI #Sol生态   链上一级。长期跟踪美联储，宏观研究者。 所有内容均不是投资建议，分享观点，吸纳意见，找出最大下行风险以及市场最大共识。,twitter,1659,18729,3708
twitter/1162707073093627904,長工 Proof of Work,"性别男, 愛好女，极度的个人主义者、奸商、坏人、理工男, 在金钱和美女中迷失人生 #比特币原教旨主义者 PGP_FingerPrint: E86C70BDD1CAB7BCCAE79814C59AD270F0E21FC0",twitter,1148,1937,17552
twitter/208800984,sophia ponders 🇵🇸,"Social justice, human rights & interfaith #FreePalestine  & #FreeAlaa !! & support my sis @raneem__gaza !!",twitter,5674,5550,84143
twitter/804392400,sunweibang,"",twitter,990,550,3965
twitter/1241786657306746882,Let Us Pray,Latter House of Glory Church,twitter,18026,20312,78738
twitter/837621736422182913,Youri 🦊🍃,PROMO 📧 DM or youridefou@gmail.com —- active 🔔 ( 💼 Social Media Manager ),twitter,498,500157,27944
twitter/1518824903637671936,CS,"Wie zijn immuunsysteem wil verbeteren, moet eerst immuun worden voor het systeem... **backup account: @CSSUNSHINE85292",twitter,33469,37282,37691
twitter/1344532900218249217,Jowua,"Tesla ownership optimization via how to’s, guides, and Tesla accessories. Talking about Tesla, #TSLA, EV, and all tech.",twitter,3483,10028,20496
twitter/701264221653217281,U.S. Cavalry Alumni,"I will not give into the lies.I will not give into the fear-Acosta.Keep  Dreamers,deport MAGAts.Vietnam Era,Cold-War,OIF Veteran.11ER8 SlavaUkraini.🇺🇸🇨🇦🇲🇽",twitter,4699,4560,187896
twitter/968290916581560321,Milo Somers,#science #fact #compassion #biodiversity #animals #equalrights #BDS #populationreduction  #GreenNewDeal #Medicare4All #FreePalestine #FreeGaza #multipolarworld,twitter,775,1036,50153
twitter/3690075618,Charles Chen,吃吃喝喝愛看風景一直男,twitter,2205,713,13823
twitter/1240740802592194565,Lilen,公平原则：在我评论区里锁推的推友我会反Block。因为我无法看到你的回复，而你可以看到我的。（虽然你在我评论区里回复的是别人）,twitter,846,1674,17111
twitter/116529568,Aspen Ideas,Aspen Ideas is a conversation-packed event series exploring big ideas and pressing issues in society.  #AspenIdeas #AspenIdeasHealth #AspenIdeasClimate,twitter,2432,37498,14462
twitter/15867018,Ross Kaminsky,"Talk host @KOAColorado (Denver) M-F 9AM-12PM MT, dad, husband, trader, world traveler. pro-liberty & chocolate. Not GOP, not Dem. And no, It's not for Vladimir.",twitter,2451,15357,70087
twitter/979588929610383361,中国民主党全国委员会-洛杉矶,结束一党专政，建立宪政民主 诚意征稿，请联系：刘应春 YINGCHUN LIU warriorsofchina1989@gmail.com,twitter,854,3984,3097
twitter/1020409025043881985,The Beautiful World,Everything that is kind is beautiful 🌸 🍀,twitter,1243,2225,3064
twitter/1859270027892977664,Graham Banks Cull,A man with sort of a plan,twitter,10513,14130,28206
twitter/292691834,China US Focus,"A China-US Exchange Foundation initiative to promote exclusive dialogue, insight, and perspectives on the world's most important bilateral relationship.",twitter,1284,172347,26569
twitter/1316284310249324544,Will Spencer,"Host of The Will Spencer Podcast. Interviewing influential men & women who help make sense of our world. Christ is Prophet, Priest, and King. ✝ Stanford '02",twitter,1331,32763,32353
twitter/1392730380730519554,想想邹容会怎么做❂,一個沒有祖國的人,twitter,370,425,3971
