id_u,name,intro,platform,following_count,follower_count,posts
twitter/1733319329809354752,🇨🇳北方的COMPASS,生活就像忐忑，没有准确的歌词，却又那样惊心动魄！,twitter,3624,3782,23265
twitter/813945615516254208,NZLBIGMAC雷凌🔜🇯🇵🇰🇷🇹🇼🇨🇳🇭🇰,Kiwi🇳🇿Construction project manager🏠Australia🦘& New Zealand based🐑Foodie🍔and travel enthusiast✈️Furry/Gay/Bear/Pup🏳️‍🌈Ambassador-at-large of @Enchenia❄️,twitter,4179,2794,28967
twitter/2971428757,Daniel,Tâi-oân lâng.,twitter,838,405,12269
twitter/2266786063,Woke Angry Canadian 🇨🇦,🇨🇦 🇺🇦 Pro-choice. 🏳️‍🌈 🏳️‍⚧️ Ally. #WokeAF - / https://t.co/V9GhJLktjj #GoodTwitter #resist #Never51 #ElbowsUp #NeverPoilievre wokecanadian on bsky,twitter,6058,5473,61972
twitter/1346812422057811973,Rita,"Heart Mattaz by Rita.  Never forgive a woman who cheats on you, she will blame you for it afterward.  I'm not your regular Nigerian Girl.",twitter,7326,61676,37909
twitter/60582755,Khaled Yousry,"",twitter,3600,5562,12332
twitter/1777964162838384641,雪雪儿（互fo版）,漏fo私信我！马上回关！！,twitter,4043,5044,2196
twitter/18639734,Nasdaq Exchange,"At @Nasdaq, we power stronger economies, create more equitable opportunities, and contribute to a more sustainable world. #NasdaqListed",twitter,8418,771522,65159
twitter/18639738,Tunku  Varadarajan,AEI Fellow/ Classical Liberal Inst@NYU Law/Center on Capitalism & Society@Columbia/ WSJ writer/Cricket fan. Father. Fogey/Madridista/Anti-Putin,twitter,1651,34402,152474
twitter/1519397036285693954,Ruth E. Brown 🇺🇲,America First! Your unsolicited opinion is noted. I still don't care. Trans-fatigue. Lib-fatigue. Intolerant.  Ruthisms on TS 🚫Lists 🚫DMs,twitter,15623,21616,121820
twitter/18640094,Foundation for Economic Education,"✏️Inspiring, educating & connecting future leaders with the principles of a free society. | Est. 1946",twitter,8609,95841,91218
twitter/1059400720015941632,Calum Muirhead,"Executive Editor, Financial Mail on Sunday. All opinions my own.  Any tips DM or email calum.muirhead@dailymail.co.uk",twitter,1120,729,915
twitter/1558382544378155008,linhai,独立摄影师 江湖行路人 生活调色家,twitter,9593,31840,8757
twitter/35418609,SpeedySMM,🇺🇸America 1st/Patriot/Conservative/#MAGA President Trump 2024,twitter,18161,23053,92324
twitter/782620709977661440,Tom Moore,Unburdened By What Was Never Meant To Be America First MAHA Term Limits Balanced Budget FlatTax DOGE 🚫mRNA Politics Biz FNl MKTs Sports Fitness Humor Dogs,twitter,65366,83609,306183
twitter/1323880637581856768,Charlie 🇺🇸,"OEF/OIF/Army NCO 37F - Economist, space exploration enthusiast, anti-war libertarian, humanitarian, liberty loving, Airborne American.",twitter,2634,3609,19268
twitter/1439998109728137218,暖樱学姐,"A nerdy little Asian tech trans girl 🏳️‍⚧️ with a naughty feminine side 😏. #Crossdresser #femboy 求关注！！你们的点赞,转发,关注是我更新的动力！ Follow me you won’t be disappointed.",twitter,209,56569,3507
twitter/211580047,Bryan Harrell,"Husband, father, doctor, Navy Vet, reader & writer of contemporary romance books. The Doctors of Atlanta and The Mafia Family Love Chronicles. #writingcommunity",twitter,14228,13524,44681
twitter/43808201,Michael J. Hout,"🇺🇸 New Englander in 🇵🇱 | Writer, bibliophile | Red Sox fan",twitter,5713,7391,32252
twitter/1351861730532499457,Y,Posts about : 🇨🇳 🇮🇩 🇦🇺,twitter,865,116,1427
twitter/1149739915799719937,車尉,2025年春晚节目组。,twitter,1066,8503,71899
twitter/1587515028286185475,TheGoobLenis,"science, hockey, guitars & music...Canadian atheist that wants the destruction of MAGA and cowards of the #GOP",twitter,2444,1278,27349
twitter/1640130120470917122,America Matters Media,We believe makes America great isn’t the word “again” — it’s what we do for others and each other.,twitter,188,132626,5676
twitter/1199522589573554176,Karli Bonne’ 🇺🇸,Keep laughing at them it’s like Holy Water on a demon- The Real Midnight Rider- all other accounts are fake and selling fake crypto,twitter,10087,365712,75967
twitter/1076925599074172928,Abduweli Ayup,"Uyghur linguist, poet, founder of Uyghur Hjelp, former political prisoner.",twitter,641,17625,3832
twitter/1813300183892942848,Daniel,Husband of 1 angel. Father of 3 angels. Jesus is King and God still sits on The Throne. Leave His Children and His Creations in the womb alone ya sick bastards!,twitter,2503,2571,14915
twitter/1692405712050397184,baday👣,爱好旅行，也喜欢发呆。流连美景，也钟意美食。人生美好，生命值得！（三观相合 诚信互fo）,twitter,1760,1503,540
twitter/1814528931330203650,trumpfangirl2025,"Pro-Trump wife happily married to @jimbonnie2003 , mom and patriot. 🇺🇸Proud Army Brat of a 28 year Army veteran. #MAGA #MAHA 🚫NO DM'S",twitter,18192,18811,55902
twitter/18643437,Paul Joseph Watson,'Watson is a brilliant polemicist.' The Spectator.....”Popular cutting edge political commentator.” The Jewish Voice https://t.co/rZCVlVSOYm,twitter,1052,1401735,94164
twitter/1135626132097683457,antielabhk,Updates on HK efforts to stop #ExtraditionBill for the world. Stay tuned for more info about the latest development in the city. #antiELAB #FollowBackHongKong,twitter,1915,25560,7243
twitter/1691947433339793409,赵三江 互fo,终日饱食，笑看殖畜,twitter,3343,4569,10990
twitter/1433787942397530112,Nulli_Secunda3-🇫🇷 ✡️ Married,I Am What I Post - Lived in 7 visited 100+ countries -Legalese-DM⛔️ #FBR  #Macron🇫🇷🇱🇧🇺🇸🇮🇱French-US Citizen-#FBPE #Music #cats #Secular #Tsahal #polyglot,twitter,4076,4106,66319
twitter/1382749721219895296,Maureen Garwood,"University of Central Lancashire Postgrad Mgt Studies 1977, University of Melbourne Postgrad Faculty of Law 1999, Monash University Postgrad Research Aug 2004,",twitter,1802,1659,3464
twitter/1249019091668463616,KeroKeroKeroppi ［#HKer #HK］,#Keroppi #StandWithHK #光復香港時代革命 #五大訴求 #黑警死全家 #FollowBackHongKong #手足互科 #科勞手足 #DemocracyForHK #DefendingHongKong #FreeHK #PoliceBrutality #願榮光歸香港 #AntiChinazi,twitter,4264,2702,28566
twitter/1440407776165990413,Roger Boylan,"Novelist. Author of 'KILLOYLE,' 'THE GREAT PINT-PULLING OLYMPIAD,' and 'THE ADORATIONS.' Published by https://t.co/Jk3qCTbegN. https://t.co/5tSYigVZ7i",twitter,7499,5572,13959
twitter/43809995,🇵🇸をぐを 小倉雄一＠船橋政治新聞 💙💛,新聞C→maga編→フリーC◇船橋政治新聞https://t.co/JPyyWDVFNH 船橋創価新聞https://t.co/7s9gXX14r0展開◇創価学会員◇上意下達で機械的な公明支援を批判→役職解任、活動停止処分◇真の民主的な組織に生まれ変わることを念願◇個人ブログhttps://t.co/CdhL6p4MAb◇独り身w,twitter,2249,3353,550679
twitter/253525303,lunarush 🌶🫒,"Writer. Chef. Secular.  Addicted to Freedom.  👊 Doesn't play well with fanatics . Crass language gets instant block 🚫  Love reggae, gardening 🌺 and animals.",twitter,3864,2969,45756
twitter/1474606758911905792,舌头是地獄之火🇺🇸🇯🇵（不私聊）,我只是一个畫畫的，我的世界不需要解釋！,twitter,12750,22386,26925
twitter/906475284907438080,Jessie,"",twitter,14,0,262
twitter/18646108,Bret Baier,Chief Political Anchor @FoxNews. Anchor & Executive Editor of @SpecialReport 6-time NYT bestselling author-“To Rescue The Constitution” is the latest on sale,twitter,8914,1675581,109663
twitter/735651204,Peace🌐=❤️Truth✝️☯️☸️=Make🌐Be🇺🇸🇮🇱🇹🇼🇯🇵,Founder健康中國🇹🇼=❤️🇺🇸🇯🇵🇮🇱=仁智信義禮!JesusChrist✝️=Kill Racism+Totalitarian=❤️Freedom!Marxism🇨🇳/Islam☪️=Scams/Virus=Kill ✝️☯️🇺🇸🗽! Politics=Medicine!,twitter,1428,4255,66794
twitter/1632062640225673216,Class Consciousness Project,The Project is a militant collective of workers delivering class analysis you won’t hear from the mainstream.,twitter,993,2337,10475
twitter/1711971602521522176,leslie（互fo哦）,君子，和而不同。🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳,twitter,7344,5420,2113
twitter/1043270395506434053,★Observer★,Nothing really matters to me,twitter,2292,173,619
twitter/85756015,aegiS,"不能证实也不能证伪的言论，只能归类为阴毛论。  It's futile to rectify the past, but you can still change the future.  记录读过的书和有过的想法",twitter,127,358,1405
twitter/1773350676149469184,ESOTERIC,US Marine Corps Veteran | Startup Co-founder | BJJ Competitor | MAGA | Public enemy of fragile ideologies | Blocking me is self-care — for your ego,twitter,3314,2526,9186
twitter/989093198868992000,新命明輝(三剣真一),新日本プロレス道50年🦁 プロレスの話ボチボチしてます 競馬の予想と結果も出しますよ🏇 こちらのアカウントでは 主に動物などの動画画像で最優良な作品を紹介してます バラエティに富んだ内容にしますので 何卒宜しくお願いします 漢字クイズはこちら➡️ 兄弟アカウント @MITURUGISHINICH,twitter,27648,41913,224418
twitter/18648179,TonytheTiger57,US Marine  #USMC #SemperFi #Boston #2A #22ADAY #Foodie #Marines #DEVILDOG #GotYourSix #Vets #Cooking #NeverQuit #GY6 Pronouns: 5.56/7.62/.45/9mm.🌺🌺🌺,twitter,23954,51538,82207
twitter/18648378,ACLU of Texas,"From Amarillo to Brownsville and Beaumont to El Paso, we believe in a Texas that works for all of us.",twitter,1654,32924,23231
twitter/1540954340403433472,Bud Box puff,God first. 21+ https://t.co/8rlPyG7TOk,twitter,3222,66497,18075
twitter/987141160987750401,Madhulatha,"Mother , wife , daughter, INDIA & USA !! No DMs please .. once again NO DMs .. 🇺🇸🇺🇸🇮🇳🇮🇳🇮🇱🇮🇱 If u like my tweets Give me a follow !",twitter,9428,9769,92026
twitter/1362849943069724673,El Errante,"Aybars al-Khwārizmī 🇹🇲 Central Asian Nomad nostalgic for the spirit of Al Andalus, a perfect balance of East and West. Geopolitical Shennanigans Observer.",twitter,5638,22525,80243
twitter/1022029847462404096,themacraecase,"Detailed investigation into the murders of Renee and Andrew MacRae, Inverness,1976. Killer jailed for life in 2022 but was he alone? Documentary to come. MDANT.",twitter,3261,1285,38012
twitter/1223691395371884545,Shari好起点英语,英语翻译，英语较精通。儿子6岁前掌握中英罗三种语言，深知幼儿拥有令人赞叹的语言学习能力，因此也希望每个中国孩子都能利用这种能力轻松掌握英语。曾做过教师，现重拾旧业，致力于分享好的英语学习方法，推广家庭亲子英语和幼儿英语启蒙，希望帮助家长、孩子两代人学好英语，为国人打开一扇看世界的窗。微信：Shari-Maxim,twitter,691,1358,3976
twitter/1388059605293408260,说与明月听🌙,坚冰还盖着北海的时候，我看到了怒放的梅花。 小号：明月松坚赵@mysjz929,twitter,1060,5515,7829
